"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (10km)"
"04/22/2024 08:34:01:319 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","(mean) total-runners-in-group","(std) total-runners-in-group","(mean) avg-group-runners-finish-time","(std) avg-group-runners-finish-time","(mean) avg-group-runners-speed","(std) avg-group-runners-speed","(mean) total-socially-suspectible-runners-in-group","(std) total-socially-suspectible-runners-in-group","(mean) socially-suspectible-group-runners-avg-finish-time","(std) socially-suspectible-group-runners-avg-finish-time","(mean) socially-suspectible-group-runners-avg-speed","(std) socially-suspectible-group-runners-avg-speed","(mean) non-socially-suspectible-group-runners-avg-finish-time","(std) non-socially-suspectible-group-runners-avg-finish-time","(mean) non-socially-suspectible-group-runners-avg-speed","(std) non-socially-suspectible-group-runners-avg-speed","(mean) total-solo-runners","(std) total-solo-runners","(mean) avg-solo-runner-finish-time","(std) avg-solo-runner-finish-time","(mean) avg-solo-runner-speed","(std) avg-solo-runner-speed","(mean) total-solo-socially-suspectible-runners","(std) total-solo-socially-suspectible-runners","(mean) socially-suspectible-solo-runners-avg-finish-time","(std) socially-suspectible-solo-runners-avg-finish-time","(mean) socially-suspectible-solo-runners-avg-speed","(std) socially-suspectible-solo-runners-avg-speed","(mean) non-socially-suspectible-solo-runners-avg-finish-time","(std) non-socially-suspectible-solo-runners-avg-finish-time","(mean) non-social-suspectible-solo-runners-avg-speed","(std) non-social-suspectible-solo-runners-avg-speed"
"50","10","20","0","dry","20","20","0","0","0","6.234","0.1366894289987342","9.4","2.3748684174075834","0","0","6.233999999999999","0.13668942899873399","0","0","6.234","0.13668942899873412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","10","20","0","dry","21","20","0","0","0","6.234","0.1366894289987342","9.4","2.3748684174075834","0","0","6.233999999999999","0.13668942899873399","0","0","6.234","0.13668942899873412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","10","20","0","dry","22","20","0","0","0","6.234","0.1366894289987342","9.4","2.3748684174075834","0","0","6.234","0.136689428998734","0","0","6.234","0.13668942899873415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","10","20","0","dry","23","20","0","0","0","6.234","0.1366894289987342","9.4","2.3748684174075834","0","0","6.234","0.136689428998734","0","0","6.234","0.13668942899873415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","10","20","0","dry","24","20","0","0","0","6.234","0.1366894289987342","9.4","2.3748684174075834","0","0","6.234","0.13668942899873399","0","0","6.234","0.13668942899873412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","10","20","0","dry","25","20","0","0","0","6.234","0.1366894289987342","9.4","2.3748684174075834","0","0","6.234","0.136689428998734","0","0","6.234","0.13668942899873415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","10","20","0","dry","26","20","0","0","0","6.234","0.1366894289987342","9.4","2.3748684174075834","0","0","6.233999999999999","0.13668942899873399","0","0","6.234","0.13668942899873415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","10","20","0","dry","27","20","0","0","0","6.233999999999999","0.1366894289987342","9.4","2.3748684174075834","0","0","6.234","0.13668942899873399","0","0","6.234","0.13668942899873415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","10","20","0","dry","28","20","0","0","0","6.234","0.1366894289987342","9.4","2.3748684174075834","0","0","6.234","0.13668942899873399","0","0","6.234","0.13668942899873415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","10","20","0","dry","29","20","0","0","0","6.234","0.1366894289987342","9.4","2.3748684174075834","0","0","6.234","0.13668942899873399","0","0","6.234","0.13668942899873415","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
